WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,PPfix,PPmeans,BatchID,BatchNote
,,Electrogenic cell,生电性细胞,,,,,,,,,
,,Organelle,细胞器,,,,,,,,,
,,Regulate,调节,,,,,,,,,
,,Myelin sheath,髓鞘,,,,,,,,,
,,Neurobiology,神经生物学,,,,,,,,,
,,Receptor,受体,,,,,,,,,
,,ANS,自主神经系统,,,,,,,,,
,,SNS,交感神经系统,,,,,,,,,
,,Forebrain,前脑,,,,,,,,,
,,Hindbrain,后脑,,,,,,,,,
,,Radiology,放射学,,,,,,,,,
,,Cortical,皮层的,,,,,,,,,
,,Apical dendrite,顶端树突,,,,,,,,,
,,Basal dendrite,基底树突,,,,,,,,,
,,Corpus callosotomy,胼胝体切开术,,,,,,,,,
,,VTA,腹侧被盖区,,,,,,,,,
,,Basis pedunculi,基底脚,,,,,,,,,
,,Olive,橄榄核,,,,,,,,,
,,Pyramid,(延髓)锥体,,,,,,,,,
,,Salivary glands,唾液腺,,,,,,,,,
,,Vestibulocochlear,前庭蜗神经,,,,,,,,,
,,Glossopharyngeal,舌咽神经,,,,,,,,,
,,Vagus,迷走神经,,,,,,,,,
,,Hypoglossal,舌下神经,,,,,,,,,
,,Sympathetic chain,交感神经干,,,,,,,,,
,,Arachnoid trabecula,蛛网膜小梁,,,,,,,,,
,,Milieu,环境,,,,,,,,,
,,Extracellular,细胞外的,,,,,,,,,
,,Interventricular foramen,室间孔,,,,,,,,,
,,Cerebral aqueduct,中脑导水管,,,,,,,,,
,,Central canal,中央管,,,,,,,,,
,,SAS,蛛网膜下腔,,,,,,,,,
,,Resynthesized,再合成,,,,,,,,,
,,Utilizes,利用,,,,,,,,,
,,Metabolic ,代谢的,,,,,,,,,
,,Glucose,葡萄糖,,,,,,,,,
,,Circle of willis,大脑动脉环,,,,,,,,,
,,Multipolar neuron,多极神经元,,,,,,,,,
,,Bipolar neuron,双极神经元,,,,,,,,,
,,Pseudo-unipolar neuron,伪单极神经元,,,,,,,,,
,,Horn,(脊髓)角,,,,,,,,,
,,Satellite cells ,卫星细胞,,,,,,,,,
,,Polysaccharide,多糖,,,,,,,,,
,,Lipid,脂类,,,,,,,,,
,,Protein,蛋白质,,,,,,,,,
,,Nucleic acid,核酸,,,,,,,,,
,,Inhibitory,抑制性,,,,,,,,,
,,Excitatory,兴奋性,,,,,,,,,
,,Constituent,构成部分,,,,,,,,,
,,Capillary,毛细血管,,,,,,,,,
,,Induce,导致,,,,,,,,,
,,Tight junction,紧密连接,,,,,,,,,
,,Lipid-soluble,脂溶性,,,,,,,,,
,,Amino acid,氨基酸,,,,,,,,,
,,Appendage,附属物,,,,,,,,,
,,Astrocyte foot process,星形胶质细胞足突,,,,,,,,,
,,Carrier mediated,载体介导运输,,,,,,,,,
,,Transcellular passage,跨细胞通道,,,,,,,,,
