Word,IPA,POS,Tag,Rarity,EnDef,ZhDef,PPfix,PPmeans
Mental disorder,,,,,,精神障碍,,
Mental illness,,,,,,精神疾病,,
Abnormal psychology,,,,,,变态心理学,,
Psychopathology,,,,,,精神病理学,,
Mental health professional,,,,,,精神卫生专业人员,,
Psychodiagnosis,,,,,,心理诊断,,
Treatment plan,,,,,,治疗计划,,
Etiology,,,,,,病因学,,
Psychotherapy,,,,,,心理治疗,,
Hallucination,,,,,,幻觉,,
Culture,,,,,,文化,,
Cultural relativism,,,,,,文化相对主义,,
Cultural universality,,,,,,文化普遍性,,
Psychiatric epidemiology,,,,,,精神病学流行病学,,
Prevalence,,,,,,患病率,,
Lifetime prevalence,,,,,,终生患病率,,
