WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,,,,"If a neuron is depolarized sufficiently, a special series of membrane potential changes known as an action potential (AP) occur",action potential,act power,250918A036,「脑科学Week2 Part1」
Propagation - 传导,M000223,Propagation,传导,/ˌprɑpəˈɡeɪʃən/,n.,,,"Propagation is the transmission of energy, waves, or signals through a medium or space.",The propagation of heat along the metal rod happened faster than predicted.,propag ation,spread action,250918A036,「脑科学Week2 Part1」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪələˈneɪʃən/,n.,,,Myelination is the biological process in which axons acquire a myelin sheath that increases the speed of nerve impulse conduction.,Delayed myelination was evident on the infant's MRI and explained the motor delays.,myel in ation,marrow substance process,250918A036,「脑科学Week2 Part1」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,,P.,,,,,salt ory con duct ion,leap relating_to together lead act_or_state,250918A036,「脑科学Week2 Part1」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,,P.,,,,,de myelin dis order,removal myelin negation arrangement,250918A036,「脑科学Week2 Part1」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛktroʊˈkɛmɪkəl ˈɡreɪdiənts/,P.,,,Lectrochemical gradients are differences in electric potential and chemical concentration across a membrane that drive the passive movement of ions.,Mitochondria maintain lectrochemical gradients across the inner membrane to power ATP synthesis.,electro chem grad,electricity chemistry step,250918A036,「脑科学Week2 Part1」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuvmənt/,P.,,,Ionic movement is the motion of charged particles called ions through a medium such as a liquid or a solid conductor.,The experiment measured Ionic movement across the membrane under different voltage gradients.,ion ic move ment,ion pertaining_to move action_or_result,250918A036,「脑科学Week2 Part1」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,,P.,,,,,trivi al case,common pertaining_to instance,250918A036,「脑科学Week2 Part1」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,,,Membrane potential is the electrical potential difference across a cell membrane that influences ion movement.,Changes in membrane potential trigger action potentials in neurons.,membrane potent ial,thin_skin power relating_to,250918A036,「脑科学Week2 Part1」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,,n.,,,,,atp ase,adenosine_triphosphate enzyme,250918A036,「脑科学Week2 Part1」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,sodium-potassium pump,P.,,,,,natrium kalium,sodium potassium,250918A036,「脑科学Week2 Part1」
Ion pump - 离子泵,M000233,Ion pump,离子泵,,P.,,,,,ion,charged_particle,250918A036,「脑科学Week2 Part1」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːpoʊləraɪˈzeɪʃən/,n.,,,Depolarization is the process by which a cell's membrane potential becomes less negative and the difference in charge across the membrane is reduced.,"During an action potential, rapid depolarization allows sodium ions to flow into the neuron.",de polar ization,remove polarity process,250918A036,「脑科学Week2 Part1」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊləraɪˈzeɪʃən/,n.,,,Hyperpolarization is an increase in a cell membrane's electrical potential that makes the inside more negative relative to the outside.,"After the inhibitory synapse fired, the neuron experienced hyperpolarization and became less likely to produce an action potential.",hyper polar ization,over pole process,250918A036,「脑科学Week2 Part1」
