WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,,,"AP is the abbreviation for action potential, which is the change in electrical potential associated with the transmission of an impulse along a nerve cell.","If a neuron is depolarized sufficiently, a special series of membrane potential changes known as an action potential (AP) occur",,action_potential,250920A058,「u」
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,,,Propagation is the act of spreading something from one place to another.,The propagation of sound waves can be affected by various environmental factors.,propag propagat,spreading,250920A058,「u」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,,,Myelination is the process of forming a protective sheath around nerve fibers.,Myelination occurs during early development and is crucial for proper nerve function.,myel- ation,myelin_formation,250920A058,「u」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导, /sælˈteɪtəri kənˈdʌkʃən/ ,P.,,,Saltatory conduction refers to the process by which nerve impulses jump from one node of Ranvier to another along myelinated axons.,This type of conduction allows for faster transmission of electrical signals in the nervous system.,salta_tory conduction,jumping_conduction,250920A058,「u」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,ˌdiːˌmaɪəˈleɪnəˌtɪŋ dɪsˈɔrdərz,P.,,,Demyelinating disorders are conditions that lead to the damage or destruction of the myelin sheath surrounding nerve fibers.,Multiple sclerosis is a common type of demyelinating disorder.,de- myelin- ate-,myelin_damage_conditions,250920A058,「u」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,//ˌlɛk.troʊˈkɛm.ɪ.kəl ˈɡreɪ.dɪənts//,P.,,,Lectrochemical gradients refer to the difference in ion concentration and electrical potential across a membrane that influences the movement of ions.,Cells often rely on lectrochemical gradients to drive the transport of nutrients and waste products across their membranes.,lectro- chemical gradients,lectrochemical_gradients,250920A058,「u」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑːnɪk ˈmuːvmənt/,P.,,,Ionic movement refers to the transfer of charged particles in a medium.,The ionic movement in the solution leads to increased conductivity.,,ionic_movement,250920A058,「u」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪv.i.əl keɪs/,P.,,,A trivial case refers to a situation that is simple or unimportant.,"In mathematics, solving for x when x equals 5 is often considered a trivial case.",triv-ial case,simple_situation,250920A058,「u」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,mɛmˈbren pəˈtɛnʃəl,P.,,,Membrane potential refers to the electrical potential difference across a cell membrane.,The membrane potential of neurons is crucial for transmitting signals.,membrane potential,membrane_potential,250920A058,「u」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪtiˌpeɪz/,n.,,,ATPase is an enzyme that catalyzes the hydrolysis of ATP to ADP and phosphate.,The ATPase activity in the cell is crucial for energy metabolism.,atp- ase,atp_enzymes,250920A058,「u」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,sodium-potassium pump,abbr.,,,The S-P pump is essential for maintaining ion balance in cells.,The S-P pump helps to regulate the concentrations of sodium and potassium ions inside and outside the cell.,,sodium-potassium_pump,250920A058,「u」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,,,An ion pump is a protein that moves ions across a cell membrane.,The ion pump helps maintain the cell's internal environment.,ion pump,ion_pump,250920A058,「u」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊlərɪˈzeɪʃən/,n.,,,Depolarization is the process by which a nerve cell membrane becomes less polarized.,"After the stimulus, the cell showed rapid depolarization, allowing for an action potential to occur.",de_,removal_of_polarization,250920A058,「u」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˈhaɪpərˌpoʊləraɪˈzeɪʃən/,n.,,,"Hyperpolarization refers to an increase in the membrane potential of a cell, making it more negative than the resting potential.","During the action potential, neurons can experience hyperpolarization, making it less likely to fire another action potential immediately.",hyper_ polar_,increase_in_membrane_potential,250920A058,「u」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,,,A synapse is the junction between two nerve cells where impulses pass by diffusion of a neurotransmitter.,The brain processes information through a complex network of synapses connecting millions of neurons.,,nervous_system_connection,250920A058,「u」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpɔːlərɪˈzeɪʃən/,n.,,,Repolarization is the process by which a cell's membrane potential is restored to its resting state after depolarization.,"After the action potential, the heart cells undergo repolarization to prepare for the next beat.",re polar ization,re_restore polar_change_ization,250920A058,「u」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdɪənt/,P.,,,A chemical gradient refers to a gradual change in the concentration of a chemical substance within a given area.,The movement of molecules occurs along the chemical gradient from areas of high concentration to areas of low concentration.,chemical gradient,chemical_gradient,250920A058,「u」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljʊlɚ/,adj.,,,Intracellular refers to something located or occurring within a cell.,The drug acts intracellularly to promote healing.,,intracellular,250920A058,「u」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,,,Concentration refers to the amount of a substance in a given volume of solution.,The concentration of salt in the water was high after evaporation.,con cent ration,amount_of_substance_per_volume,250920A058,「u」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑːs.foʊˈlɪp.ɪd/,n.,,,A phospholipid is a type of fat that contains phosphorus and is a major component of cell membranes.,Phospholipids help to form the bilayer structure of cells.,phospho lipid,phosphorus_fat,250920A058,「u」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,,,A bilayer consists of two distinct layers that are stacked together.,The cell membrane is structured as a phospholipid bilayer.,bi layer,two_layers,250920A058,「u」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,,,Mammalian species are characterized by their ability to nurse their young with milk.,Whales are a diverse group of mammalian animals that live in the ocean.,mammal-,mammal_related,250920A058,「u」
