WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,physiology,,"AP refers to action potential, a rapid electrical signal that travels along neurons.","If a neuron is depolarized sufficiently, a special series of membrane potential changes known as an action potential (AP) occur",,action_potential,250920D058,「ccc」
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,physics,,Propagation refers to the transmission of energy or signals through a medium.,The propagation of sound waves can be affected by temperature and humidity.,pro pag ation,transmission_of_energy_or_signals,250920D058,「ccc」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪə.lɪˈneɪ.ʃən/,n.,anatomy,,Myelination is the process of forming a myelin sheath around a nerve fiber.,The improvement in nerve conduction velocity is attributed to myelination.,,myelination,250920D058,「ccc」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导, /sælˈteɪtəri kənˈdʌkʃən/ ,P.,biology,,Saltatory conduction is a method by which nerve impulses jump between nodes along a myelinated axon.,Saltatory conduction speeds up the transmission of electrical signals in the nervous system.,salta- condu-,jumping_conduction,250920D058,「ccc」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diˌmaɪ.ə.lɪˈneɪ.tɪŋ dɪsˈɔrdərz/,P.,medicine,,Demyelinating disorders are conditions that result in the damage or loss of the myelin sheath surrounding nerve fibers.,Multiple sclerosis is one of the most common demyelinating disorders.,de myelin at ing dis order s,demyelination_disorders,250920D058,「ccc」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,ˌlɛktrəˈkɛmɪkəl ˈɡreɪdɪənts,P.,biology,,Lectrochemical gradients refer to the differences in electric potential and concentration across membranes that affect the movement of ions.,The movement of sodium and potassium ions across the cell membrane is driven by lectrochemical gradients.,lectro_chemical,electrochemical_gradients,250920D058,「ccc」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,chemistry,,Ionic movement refers to the transfer of ions across a membrane or within a solution.,The ionic movement in batteries is crucial for their functionality.,ionic movement,ionic_movement,250920D058,「ccc」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case is a situation that is simple and does not involve any complications.,"In this trivial case, the outcome was obvious to everyone.",trivial,simple_case,250920D058,「ccc」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,ˈmɛmˌbreɪn pəˈtɛnʃəl,P.,biology,,The membrane potential is the electrical charge difference across a cell's membrane.,Nerve cells have a specific membrane potential that allows them to transmit signals.,,membrane_potential,250920D058,「ccc」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪtiˌpeɪˌeɪs/,n.,biochemistry,,Atpase is an enzyme that catalyzes the hydrolysis of ATP.,Atpase plays a crucial role in energy transfer within cells.,atp_ase,atp_ase,250920D058,「ccc」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,sodium-potassium pump,P.,biology,,The S-P pump is a specific type of protein that actively transports sodium and potassium ions across cell membranes.,"The S-P pump regulates the concentration of sodium and potassium in cells, which is essential for maintaining cellular functions.",,sodium_potassium_pump,250920D058,「ccc」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,biology,,An ion pump is a protein that moves ions across a cell membrane against their concentration gradient.,The ion pump helps maintain the right balance of electrolytes in the body.,ion pump,ion_pump,250920D058,「ccc」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊlərɪˈzeɪʃən/,n.,physiology,,Depolarization is the process in which a cell's membrane potential becomes less negative or more positive.,"After the stimulus, the neurons experienced depolarization, triggering an action potential.",de_,de_polarization,250920D058,「ccc」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,physiology,,"Hyperpolarization refers to an increase in the polarization of a cell's membrane, making it more negative than the resting potential.","During the cardiac action potential, hyperpolarization occurs following the repolarization phase.",hyper-,increased_polarity,250920D058,「ccc」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,anatomy,,A synapse is the junction between two neurons where signals are transmitted.,The synapse is crucial for communication between nerve cells.,syn_,junction_between_neurons,250920D058,「ccc」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpɒlərɪˈzeɪʃən/,n.,physiology,,Repolarization is the process of restoring the resting potential in a cell after depolarization has taken place.,"After the action potential, the nerve cell underwent repolarization to return to its normal resting state.",re polar ization,restoration_of_resting_potential,250920D058,「ccc」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdɪənt/,P.,biology,,A chemical gradient exists when the concentration of a chemical substance varies in space.,The movement of molecules often follows the path of a chemical gradient.,chemical gradient,chemical_gradient,250920D058,「ccc」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˈɪntrəˌsɛl·jʊ·lər/,adj.,biology,,Intracellular refers to something located within a cell.,The drug works by targeting intracellular pathways to enhance its effectiveness.,,within_a_cell,250920D058,「ccc」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒn.sənˈtreɪ.ʃən/,n.,chemistry,,Concentration refers to the amount of a substance in a given volume of solution.,The concentration of salt in the ocean is much higher than in fresh water.,con-centr-ation,amount_of_substance_in_volume,250920D058,「ccc」
