WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,生理,,An AP is a brief electrical signal that travels along the membrane of a neuron.,"If a neuron is depolarized sufficiently, a special series of membrane potential changes known as an action potential (AP) occur",,action_potential,250920J058,「eieiei」
Propagation - 传导,M000223,Propagation,传导,__SKIP__,abbr.,物理,,"Propagation refers to the process of transmitting something, such as light or sound, through a medium.",The propagation of sound waves can be affected by temperature and humidity.,,transmission,250920J058,「eieiei」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,abbr.,解剖,,Myelination is the process by which a myelin sheath forms around the nerves to enhance the transmission of electrical signals.,"During development, myelination increases the speed at which impulses travel along the nerve fibers.",,myelin_sheath_formation,250920J058,「eieiei」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,__SKIP__,abbr.,生物,,Saltatory conduction refers to the rapid transmission of impulses along myelinated nerve fibers by jumping between the nodes of Ranvier.,The action potential travels much faster due to saltatory conduction in the axon.,sal- con-duc-tion,jumping_transmission,250920J058,「eieiei」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,__SKIP__,abbr.,醫學,,Demyelinating disorders are medical conditions that result in the loss of the myelin sheath around nerve fibers.,Multiple sclerosis is one of the most common demyelinating disorders.,,demyelinating_disorders,250920J058,「eieiei」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,__SKIP__,abbr.,生物,,Lectrochemical gradients refer to the differences in electric potential and concentration across a membrane that influence cellular processes.,Cells rely on lectrochemical gradients to transport ions and nutrients effectively.,,electrochemical_gradients,250920J058,「eieiei」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,__SKIP__,abbr.,生物,,Ionic movement refers to the process by which ions move across a membrane or through a solution.,"In biological systems, ionic movement is crucial for nerve impulse transmission.",ionic,ion_movement,250920J058,「eieiei」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,__SKIP__,abbr.,,,A trivial case refers to a situation that is simple and easy to resolve.,"In a trivial case, the solution is often obvious to anyone involved.",triv-,simple_case,250920J058,「eieiei」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,__SKIP__,abbr.,生理,,Membrane potential refers to the electric charge difference across a cell membrane.,The membrane potential influences how neurons transmit signals.,mem bran e po ten tial,electric_charge_difference_across_cell_membrane,250920J058,「eieiei」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,__SKIP__,abbr.,生化,,Atpase is an enzyme that catalyzes the hydrolysis of ATP to ADP and phosphate.,The scientist studied the function of Atpase in cellular energy production.,atp_ase,atp_enzyme,250920J058,「eieiei」
