WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,生物,,AP stands for action potential in the context of neurology.,"If a neuron is depolarized sufficiently, a special series of membrane potential changes known as an action potential (AP) occur",__skip__,__skip__,250920K058,
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,O.,,,"Propagation refers to the process of transmitting something, such as energy or information, from one place to another.",The propagation of sound waves can be affected by the medium through which they travel.,,,250920K058,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,解剖,,Myelination is the process through which myelin sheaths form around the axons of neurons.,Myelination is crucial for the rapid transmission of electrical impulses in the nervous system.,__skip__,__skip__,250920K058,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsæltəˌtɔri kənˈdʌkʃən/,P.,生物,,Saltatory conduction refers to the process by which nerve impulses jump from one node of Ranvier to another along myelinated axons.,"In saltatory conduction, nerve impulses jump from one node of Ranvier to another, increasing the speed of transmission.",__skip__,__skip__,250920K058,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːˈmaɪəleɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,"Demyelinating disorders are conditions that damage the protective covering of nerves, leading to impaired communication between the brain and the rest of the body.",Multiple sclerosis is one of the most common demyelinating disorders affecting the central nervous system.,__skip__,__skip__,250920K058,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛktroʊˈkɛmɪkəl ˈɡreɪdiənts/,P.,生物,,Lectrochemical gradients are essential for the function of various biological processes.,These gradients play a crucial role in the movement of ions across cell membranes.,__skip__,__skip__,250920K058,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the transport of charged particles through a medium.,The ionic movement in the solution was measured using a conductivity probe.,__skip__,__skip__,250920K058,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case is a situation or example that is considered simple or easy to resolve.,"In legal terms, the plaintiff argued that this was a trivial case not worth the court's time.",__skip__,__skip__,250920K058,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the electrical potential difference across a membrane.,The membrane potential of the neuron is crucial for the generation of action potentials.,__skip__,__skip__,250920K058,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪtiˌpeɪz/,n.,生化,,Atpase is an enzyme that catalyzes the hydrolysis of ATP.,Atpase plays a crucial role in cellular energy metabolism.,,,250920K058,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,/ˈsɛnˈpɪˈpʌmp/,P.,生物,,The S-P pump is essential for maintaining the balance of sodium and potassium ions in cell membranes.,The S-P pump plays a crucial role in maintaining the cell's electrochemical balance.,__skip__,__skip__,250920K058,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,生物,,An ion pump is a protein that moves ions across a cell membrane.,The ion pump actively transports sodium out of the cell while bringing potassium in.,__skip__,__skip__,250920K058,
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːpəˌlɛrəˈzeɪʃən/,n.,生理,,"Depolarization refers to the process whereby the electrical charge across a cell membrane decreases, allowing for the initiation of an action potential.","The cardiac cells undergo depolarization, allowing for the conduction of electrical impulses that trigger heartbeats.",__skip__,__skip__,250920K058,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization occurs when a neuron becomes more negatively charged than its resting potential.,The hyperpolarization of the neuron prevented it from firing an action potential.,__skip__,__skip__,250920K058,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,解剖,,A synapse is the junction between two neurons that allows them to communicate.,The electrical signal travels down the neuron and triggers the release of neurotransmitters at the synapse.,__skip__,__skip__,250920K058,
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpɒlərɪˈzeɪʃən/,n.,生理,,Repolarization refers to the process by which a cell restores its membrane potential after depolarization.,"During repolarization, potassium ions flow out of the cell to restore the negative charge inside.",__skip__,__skip__,250920K058,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdiənt/,P.,生物,,A chemical gradient refers to the gradual change in the concentration of solutes in a solution as a function of distance.,Cells use the chemical gradient to regulate the movement of ions across their membranes.,__skip__,__skip__,250920K058,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛl.jʊ.lər/,adj.,生物,,Intracellular processes take place within the cell.,Intracellular communication is essential for coordinating cellular activities.,__skip__,__skip__,250920K058,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,化學,,Concentration refers to the amount of a substance in a given volume of solution.,The concentration of salt in the water was measured to determine its salinity.,__skip__,__skip__,250920K058,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑsfəˈlɪpɪd/,n.,生化,,A phospholipid is a type of lipid that is a major component of all cell membranes.,Phospholipids are essential components of cell membranes that help maintain their structure and function.,__skip__,__skip__,250920K058,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,"A bilayer is a structure consisting of two layers of material, often found in biological membranes.",The cell membrane consists of a bilayer that separates the interior of the cell from the external environment.,__skip__,__skip__,250920K058,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/mæˈmeɪliən/,adj.,生物,,Mammalian animals are characterized by having hair or fur and the ability to produce milk for their young.,The mammalian population in the forest has been steadily increasing over the past decade.,__skip__,__skip__,250920K058,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnɒnɪkl ˈaɪɒnɪk dɪsˈtrɪbjuːʃənz/,P.,化學,,Canonical ionic distributions refer to the standard arrangements of ions in a given system.,The study focused on canonical ionic distributions in electrolytic solutions.,__skip__,__skip__,250920K058,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd ˈpəʊtɛnʃəlz/,P.,生理,,Graded (Passive) potentials refer to changes in membrane potential that vary in magnitude.,The neuron exhibited graded (passive) potentials in response to the sensory stimuli.,__skip__,__skip__,250920K058,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生理,,Threshold potential is the minimum level of electrical stimulation required to trigger an action potential in a neuron.,The threshold potential is the minimum level of depolarization needed to trigger an action potential in a neuron.,__skip__,__skip__,250920K058,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərʃut/,vt.,航空,,To overshoot is to reach beyond a target or desired level.,The rocket's trajectory caused it to overshoot its intended landing zone.,__skip__,__skip__,250920K058,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˈʌndərˌʃut/,vt.,,,To undershoot means to fail to reach a target or goal.,The rocket undershot its intended landing zone by several kilometers.,__skip__,__skip__,250920K058,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,O.,,,Drift refers to a gradual movement or change in position or direction.,The boat began to drift away from the shore.,,,250920K058,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,/ˈviː ˈdʒiː ˈaɪɒn ˈʧænəlz/,P.,生物,,V-G ion channels are essential for the propagation of action potentials in neurons and muscle cells.,/__SKIP__/,__skip__,__skip__,250920K058,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,生物,,A gastropod is a type of mollusk that includes snails and slugs.,"Gastropods include snails and slugs, which are known for their unique adaptations to land and aquatic environments.",__skip__,__skip__,250920K058,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv ˈrænvieɪ/,P.,解剖,,Nodes of ranvier are the gaps in the myelin sheath of a nerve fiber that facilitate the rapid conduction of impulses.,The Nodes of ranvier facilitate rapid signal transmission along the axon.,__skip__,__skip__,250920K058,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsæl.təˌtɔːr.i kənˈdʌk.ʃən/,P.,生物,,Saltatory conduction is a process that occurs when nerve impulses jump between nodes of Ranvier along myelinated axons.,Saltatory conduction greatly increases the speed of nerve impulse transmission.,__skip__,__skip__,250920K058,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,Pathologies are the study of diseases and their effects on the body.,"Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",__skip__,__skip__,250920K058,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjuːn/,O.,,,Autoimmune diseases occur when the body's immune system mistakenly attacks its own cells.,Autoimmune diseases occur when the body's immune system mistakenly attacks its own cells.,,,250920K058,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltɪpəl skləˈroʊsɪs/,P.,醫學,,Multiple sclerosis is a disease that affects the central nervous system.,Patients with multiple sclerosis often experience fatigue and mobility issues.,__skip__,__skip__,250920K058,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiːˌjæ̃ː bɑːˈreɪ ˈsɪnˌdroʊm/,P.,醫學,,Guillain-barré syndrome is a rare neurological disorder in which the body's immune system mistakenly attacks the peripheral nerves.,The patient was diagnosed with Guillain-barré syndrome after experiencing sudden weakness in the legs.,__skip__,__skip__,250920K058,
