WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,physiology,,An action potential is a rapid rise and fall in the electrical charge of a neuron's membrane.,The action potential travels along the axon to transmit signals in the nervous system.,,action_potential,250920G058,「mei」
Propagation - 传导,M000223,Propagation,传导,/ˌprɑːpəˈɡeɪʃən/,n.,physics,,Propagation is the process of spreading or transmitting something from one place to another.,The propagation of sound waves can be significantly affected by temperature and humidity.,,transmission,250920G058,「mei」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈleɪʃən/,n.,anatomy,,Myelination is the process by which a myelin sheath forms around a nerve fiber.,Myelination is crucial for the proper functioning of the nervous system.,myel-,myelin_formation,250920G058,「mei」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/sælˈteɪtəri kənˈdʌkʃən/,P.,physiology,,Saltatory conduction refers to the rapid transmission of impulses along myelinated nerve fibers.,"In saltatory conduction, the action potential jumps from one node of Ranvier to the next.",saltat,jumping_conduction,250920G058,「mei」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːˌmaɪəˈleɪnətɪŋ dɪsˈɔrdərz/,P.,medicine,,Demyelinating disorders are characterized by the damage or loss of the protective covering of nerve fibers.,Patients with demyelinating disorders often experience symptoms such as muscle weakness and coordination difficulties.,demyelinate,myelin_loss_disease,250920G058,「mei」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.troʊˈkɛm.ɪ.kəl ˈɡreɪ.dənts/,P.,biology,,Lectrochemical gradients are the differences in electric potential and concentration of ions across a membrane.,Scientists studied the lectrochemical gradients across the cell membrane to understand nerve signal transmission.,lectro-chemical gradients,electric_chemical_gradients,250920G058,「mei」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,chemistry,,Ionic movement refers to the movement of ions across a membrane or within a solution.,The ionic movement in the battery leads to the flow of electricity.,,ionic_movement,250920G058,「mei」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case refers to a situation that is simple or obvious and requires little thought.,"In a court of law, proving the defendant's alibi was a trivial case as the CCTV footage clearly showed him elsewhere.",,trivial_case,250920G058,「mei」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbren pəˈtɛnʃl/,P.,biology,,The membrane potential is the electrical potential difference across a cell's membrane.,The nerve cells generate a membrane potential that allows them to transmit signals.,,membrane_potential,250920G058,「mei」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪtiˌpiːˌeɪs/,n.,biochemistry,,ATPase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,ATPase plays a critical role in cellular energy transfer.,atp_ase,atp_enzyme,250920G058,「mei」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,sodium-potassium pump,abbr.,biology,,The S-P pump is a vital protein complex that helps transport sodium and potassium ions across the cell membrane.,The S-P pump regulates cellular functions by maintaining the balance of sodium and potassium inside and outside of the cell.,,sodium_potassium_pump,250920G058,「mei」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,biology,,An ion pump is a protein that moves ions across a cell membrane against their concentration gradient.,The ion pump helps maintain the necessary ion balance within the cell.,ion pump,ion_pump,250920G058,「mei」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊlərɪˈzeɪʃən/,n.,biology,,"Depolarization is the process by which the membrane potential of a cell becomes less negative, returning to a more neutral state.","During depolarization, sodium channels open and allow ions to flow into the neuron.",,membrane_potential_change,250920G058,「mei」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,biology,,"Hyperpolarization refers to an increase in the polarization of a cell's membrane, making it more negative than the resting potential.","After the neuron's action potential, hyperpolarization occurs to restore the resting state.",,hyper_polarization,250920G058,「mei」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,anatomy,,A synapse is the junction between two nerve cells where impulses pass by diffusion of a neurotransmitter.,The release of neurotransmitters at the synapse allows for communication between neurons.,,junction_between_neurons,250920G058,「mei」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpɒləraɪˈzeɪʃən/,n.,physiology,,Repolarization refers to the process by which a cell restores its membrane potential after depolarization.,"After the action potential, the neuron underwent repolarization to return to its resting state.",,re_polarization,250920G058,「mei」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdɪənt/,P.,biology,,"A chemical gradient refers to a concentration difference of a substance across a space, such as a membrane.",The nutrients flowed from an area of high concentration to an area of low concentration due to the chemical gradient.,,chemical_gradient,250920G058,「mei」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛl.jʊ.lər/,adj.,biology,,Intracellular processes occur within a cell.,The researchers investigated the processes occurring in the intracellular environment of the cells.,,cell_within,250920G058,「mei」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,chemistry,,Concentration refers to the amount of a substance present in a given volume of solution.,The concentration of salt in the water was measured to ensure proper conditions for the experiment.,,amount_of_substance_present_in_solution,250920G058,「mei」
