Electrogenic cell - 生电性细胞,M000801,Electrogenic cell,生电性细胞,/ɪˌlɛktrəʊˈdʒɛnɪk ˈsɛl/,P.,生物,,An electrogenic cell is a cell that generates electricity. ,electro genic cell,electricity_producing_cell,250916Y058,「uu」
Organelle - 细胞器,M000802,Organelle,细胞器,/ɔrˈɡænɛl/,n.,生物,,An organelle is a specialized structure within a cell that performs a specific function.,,,250916Y058,「uu」
Regulate - 调节,M000803,Regulate,调节,/ˈrɛɡjʊˌleɪt/,vt.,,,To regulate means to control or maintain the rate or speed of a process.,,,250916Y058,「uu」
Myelin sheath - 髓鞘,M000804,Myelin sheath,髓鞘,/ˈmaɪəlɪn ʃiːθ/,P.,生物,,"The myelin sheath is an insulating layer that surrounds nerves, enhancing the speed of signal transmission.",myelin sheath,insulating_layer surrounding_nerves,250916Y058,「uu」
Neurobiology - 神经生物学,M000805,Neurobiology,神经生物学,/ˌnʊəroʊbaɪˈɒlədʒi/,n.,生物,,Neurobiology is the study of the biological components of the nervous system.,neuro bio logy,nervous_system biological_study of_study_of_knowledge,250916Y058,「uu」
Receptor - 受体,M000806,Receptor,受体,/rɪˈsɛptər/,n.,生物,,A receptor is a protein molecule that receives and responds to chemical signals in the body.,,,250916Y058,「uu」
ANS - 自主神经系统,M000807,ANS,自主神经系统,,abbr.,,,"ANS stands for the autonomic nervous system, which controls involuntary bodily functions.",,,250916Y058,「uu」
SNS - 交感神经系统,M000808,SNS,交感神经系统,,abbr.,,,"SNS refers to the sympathetic nervous system, which is part of the autonomic nervous system.",,,250916Y058,「uu」
Forebrain - 前脑,M000809,Forebrain,前脑,/ˈfɔrˌbreɪn/,n.,生物,,The forebrain is the largest part of the brain and includes the cerebral cortex.,,,250916Y058,「uu」
Hindbrain - 后脑,M000810,Hindbrain,后脑,/ˈhɪndˌbreɪn/,n.,生物,,The hindbrain is the lower part of the brainstem and plays a crucial role in autonomic functions.,,,250916Y058,「uu」
Radiology - 放射学,M000811,Radiology,放射学,/ˌreɪdiˈɒl.ə.dʒi/,n.,醫學,,Radiology is the branch of medicine that uses imaging technology to diagnose and treat diseases.,,,250916Y058,「uu」
Cortical - 皮层的,M000812,Cortical,皮层的,/ˈkɔrtɪkəl/,adj.,生物,,"Cortical refers to the outer layer of an organ or structure, particularly in the brain.",,,250916Y058,「uu」
Apical dendrite - 顶端树突,M000813,Apical dendrite,顶端树突,/ˈeɪpɪkəl ˈdɛnˌdraɪt/,P.,生物,,An apical dendrite is a type of neuron extension that connects to the top region of the cell body.,apical dendrite,top_region_of_cell_body,250916Y058,「uu」
Basal dendrite - 基底树突,M000814,Basal dendrite,基底树突,/ˈbeɪzəl ˈdɛnˌdraɪt/,P.,,,A basal dendrite is a type of dendrite that originates from the base of a neuron.,basal dendrite,base dendrite,250916Y058,「uu」
Corpus callosotomy - 胼胝体切开术,M000815,Corpus callosotomy,胼胝体切开术,,abbr.,醫學,,Corpus callosotomy is a surgical procedure that involves cutting the corpus callosum.,,,250916Y058,「uu」
VTA - 腹侧被盖区,M000816,VTA,腹侧被盖区,,abbr.,,,"VTA stands for the ventral tegmental area, which is an important part of the brain known for its role in reward and motivation.",,,250916Y058,「uu」
Basis pedunculi - 基底脚,M000817,Basis pedunculi,基底脚,/ˈbeɪsɪs pɪˈdʌŋkjʊlaɪ/,P.,生物,,The basis pedunculi refers to a prominent anatomical structure in the brainstem.,basis pedunculi,foundation_of_stalks,250916Y058,「uu」
Olive - 橄榄核,M000818,Olive,橄榄核,/ˈɑːlɪv/,n.,植物,,The olive is a small fruit that is often processed to produce olive oil.,,,250916Y058,「uu」
Pyramid - (延髓)锥体,M000819,Pyramid,(延髓)锥体,/ˈpɪr.ə.mɪd/,n.,,,A pyramid is a solid shape with a polygonal base and triangular faces that converge at a single point.,,,250916Y058,「uu」
Salivary glands - 唾液腺,M000820,Salivary glands,唾液腺,/ˈsælɪˌvɛri ɡlændz/,P.,生物,,Salivary glands are responsible for producing saliva.,,,250916Y058,「uu」
Vestibulocochlear - 前庭蜗神经,M000821,Vestibulocochlear,前庭蜗神经,/ˌvɛstɪbjuːloʊˈkoʊklɪər/,n.,醫學,,The vestibulocochlear nerve is responsible for hearing and balance in the human body.,vestibulo cochlea,vestibule cochlea,250916Y058,「uu」
Glossopharyngeal - 舌咽神经,M000822,Glossopharyngeal,舌咽神经,/ˌɡlɒsəʊˌfærɪnˈdʒiːəl/,n.,醫學,,The glossopharyngeal nerve is responsible for sensory and motor functions in the throat and tongue.,,,250916Y058,「uu」
Vagus - 迷走神经,M000823,Vagus,迷走神经,/ˈveɪɡəs/,n.,醫學,,The vagus is a cranial nerve that extends from the brainstem to the abdomen.,,,250916Y058,「uu」
Hypoglossal - 舌下神经,M000824,Hypoglossal,舌下神经,/ˌhaɪpəˈɡlɑsəl/,adj.,醫學,,The hypoglossal nerve controls the movements of the tongue.,,,250916Y058,「uu」
Sympathetic chain - 交感神经干,M000825,Sympathetic chain,交感神经干,/ˌsɪmpəˈθɛtɪk ʧeɪn/,P.,生物,,The sympathetic chain is a part of the autonomic nervous system.,,,250916Y058,「uu」
Arachnoid trabecula - 蛛网膜小梁,M000826,Arachnoid trabecula,蛛网膜小梁,/əˈræk.nɔɪd trəˈbɛk.jʊ.lə/,P.,醫學,,Arachnoid trabecula are delicate structures found in the arachnoid membrane of the brain.,arachnoid trabecula,spider_web little_beam,250916Y058,「uu」
Milieu - 环境,M000827,Milieu,环境,/mɪlˈjɜː/,n.,,,A milieu refers to the environment or setting in which something occurs.,,,250916Y058,「uu」
Extracellular - 细胞外的,M000828,Extracellular,细胞外的,/ˌɛkstrəˈsɛljʊlər/,adj.,生物,,Extracellular refers to the space outside of cells.,extra cell ula r,outside_of cells,250916Y058,「uu」
Interventricular foramen - 室间孔,M000829,Interventricular foramen,室间孔,/ˌɪntərvɛnˈtrɪkjələr fəˈreɪmən/,P.,醫學,,The interventricular foramen is an important anatomical structure in the brain.,,,250916Y058,「uu」
Cerebral aqueduct - 中脑导水管,M000830,Cerebral aqueduct,中脑导水管,/ˈsɛrəbrəl ˈækwəˌdʌkt/,P.,醫學,,The cerebral aqueduct is a crucial channel that connects the third and fourth ventricles in the brain.,cerebral aqueduct,brain_channel,250916Y058,「uu」
Central canal - 中央管,M000831,Central canal,中央管,/ˈsɛntrəl ˈkænəl/,P.,生物,,The central canal runs through the spinal cord and contains cerebrospinal fluid.,central canal,central canal,250916Y058,「uu」
SAS - 蛛网膜下腔,M000832,SAS,蛛网膜下腔,,abbr.,,,SAS stands for the subarachnoid space in the anatomy of the central nervous system.,,,250916Y058,「uu」
Resynthesized - 再合成,M000833,Resynthesized,再合成,/ˌriːˈsɪnθəˌsaɪzd/,vt.,音樂,,The sound was resynthesized using advanced digital techniques.,,,250916Y058,「uu」
Utilizes - 利用,M000834,Utilizes,利用,/ˈjuːtɪlaɪzɪz/,vt.,,,The company utilizes new technology to improve efficiency.,,,250916Y058,「uu」
Metabolic - 代谢的,M000835,Metabolic,代谢的,/məˈtæbəlɪk/,adj.,生物,,Metabolic processes are crucial for maintaining life.,,,250916Y058,「uu」
Glucose - 葡萄糖,M000836,Glucose,葡萄糖,/ˈɡluːkoʊs/,n.,生物,,Glucose is a simple sugar that is an important energy source in living organisms.,,,250916Y058,「uu」
Circle of willis - 大脑动脉环,M000837,Circle of willis,大脑动脉环,/ˈsɜrkl əv ˈwɪlɪs/,P.,醫學,,The Circle of Willis is a ring of arteries located at the base of the brain.,,,250916Y058,「uu」
Multipolar neuron - 多极神经元,M000838,Multipolar neuron,多极神经元,/ˌmʌltiˈpoʊlər ˈnjʊrɒn/,P.,生物,,A multipolar neuron is a type of neuron that has multiple extensions and processes extending from its cell body.,multi polar neuron,many_poles_neuron,250916Y058,「uu」
Bipolar neuron - 双极神经元,M000839,Bipolar neuron,双极神经元,/ˈbaɪˌpoʊlər ˈnjʊəˌroʊn/,P.,,,A bipolar neuron is a type of neuron that has two extensions from its cell body.,bi polar neur on,two_poles nerve_cell about,250916Y058,「uu」
Pseudo-unipolar neuron - 伪单极神经元,M000840,Pseudo-unipolar neuron,伪单极神经元,/ˈsuːdō ˌjuːnɪˈpoʊlər ˈnjʊrɒn/,P.,生物,,"A pseudo-unipolar neuron is a type of neuron that has a single process that branches into two functional axons, resembling the form of a unipolar neuron.",pseudo uni polar neur on,false_one_single neuron,250916Y058,「uu」
Horn - (脊髓)角,M000841,Horn,(脊髓)角,/hɔrn/,n.,,,The horn is the bony protrusion that can be found in the spinal cord.,,,250916Y058,「uu」
Satellite cells - 卫星细胞,M000842,Satellite cells,卫星细胞,/ˈsætəˌlaɪt sɛlz/,P.,生物,,Satellite cells are a type of muscle stem cell found in skeletal muscle.,,,250916Y058,「uu」
Polysaccharide - 多糖,M000843,Polysaccharide,多糖,/ˌpɒliˈsækaˌraɪd/,n.,生物,,Polysaccharides are a type of carbohydrate that consists of long chains of sugar units.,poly saccharide,many_sugars,250916Y058,「uu」
Lipid - 脂类,M000844,Lipid,脂类,/ˈlɪpɪd/,n.,生物,,A lipid is a type of organic molecule that is insoluble in water.,,,250916Y058,「uu」
Protein - 蛋白质,M000845,Protein,蛋白质,/ˈproʊtiːn/,n.,生物,,Protein is an essential nutrient that the body needs to build and repair tissues.,,,250916Y058,「uu」
Nucleic acid - 核酸,M000846,Nucleic acid,核酸,/njuːˈkleɪɪk ˈæsɪd/,P.,生物,,Nucleic acid is a biopolymer essential for all known forms of life.,nucle ic acid,nucleus_of_chemical,250916Y058,「uu」
Inhibitory - 抑制性,M000847,Inhibitory,抑制性,/ɪnˈhɪbɪtɔri/,adj.,生物,,Inhibitory effects prevent the activity of certain processes in the body.,,,250916Y058,「uu」
Excitatory - 兴奋性,M000848,Excitatory,兴奋性,/ɪkˈsaɪtəˌtɔri/,adj.,生物,,Excitatory signals contribute to the activation of neurons.,,,250916Y058,「uu」
Constituent - 构成部分,M000849,Constituent,构成部分,/kənˈstɪtʃuənt/,n.,,,A constituent is an important part of a whole.,,,250916Y058,「uu」
Capillary - 毛细血管,M000850,Capillary,毛细血管,/kəˈpɪləri/,n.,醫學,,"A capillary is a small blood vessel that connects arterioles and venules, distributing oxygen and nutrients to tissues.",,,250916Y058,「uu」
Induce - 导致,M000851,Induce,导致,/ɪnˈdus/,vt.,,,To induce a change means to cause that change to happen.,,,250916Y058,「uu」
Tight junction - 紧密连接,M000852,Tight junction,紧密连接,/taɪt ˈdʒʌŋkʃən/,P.,生物,,A tight junction is a type of connection between cells that prevents the passage of molecules and ions through the space between them.,,,250916Y058,「uu」
Lipid-soluble - 脂溶性,M000853,Lipid-soluble,脂溶性,/ˈlɪpɪd ˈsɒljʊbəl/,adj.,生物,,A lipid-soluble substance can easily dissolve in fats or lipids.,lipid soluble,fat soluble,250916Y058,「uu」
