AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP stands for action potential, which is a significant electrical change in a neuron.","During the experiment, we measured the AP generated by the neurons in response to stimuli.",,,251007B036,「2。0测试」
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,Propagation is the act of spreading something from one place to another.,The propagation of sound waves can be observed when you clap your hands in a quiet room.,,,251007B036,「2。0测试」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪ.ə.lɪˈneɪ.ʃən/,n.,生物,,Myelination is the process by which axons are insulated with a myelin sheath.,The speed of signal transmission in neurons increases due to myelination.,,,251007B036,「2。0测试」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/sælˈteɪtəri ˌkənˈdʌkʃən/,P.,生物,,Saltatory conduction is a method by which nerve impulses travel more quickly along myelinated fibers.,"In the human nervous system, saltatory conduction allows for faster signal transmission between neurons.",,,251007B036,「2。0测试」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːˌmaɪəˈleɪnˌeɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,Demyelinating disorders are conditions that involve the damage or destruction of the myelin sheath that surrounds nerves.,Multiple sclerosis is one of the most common demyelinating disorders affecting young adults.,demyelinating disorders,damage_or_destruction_of_myelin_sheath_surrounding_nerves,251007B036,「2。0测试」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.troʊˈkɛm.ɪ.kəl ˈɡreɪ.dɪənts/,P.,生物,,Lectrochemical gradients are crucial for understanding how ions move across cellular membranes.,Research on lectrochemical gradients helps explain how neurons generate electrical signals.,lectro chemical gradient,electrical_chemical_gradient,251007B036,「2。0测试」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the migration of ions through a medium or solution.,"In the process of electrolysis, ionic movement is crucial for the conduction of electricity through the electrolyte.",ionic movement,migration_of_ions,251007B036,「2。0测试」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case is often overlooked in serious discussions.,"During the debate, the lawyer pointed out that this was a trivial case that didn't warrant much attention.",trivial case,insignificant_example,251007B036,「2。0测试」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbeɪn pəˈtɛntʃəl/,P.,生物,,Membrane potential refers to the electrical charge difference across a cell's membrane.,The neuron's membrane potential must reach a certain threshold to trigger an action potential.,membrane potential,electrical_charge_difference_across_a_cell's_membrane,251007B036,「2。0测试」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ ti ˈpi eɪˌseɪ/,n.,生物,,Atpase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,The Atpase activity is crucial for muscle contraction as it provides the energy needed for the process.,,,251007B036,「2。0测试」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,,The S-P pump plays a crucial role in maintaining the sodium and potassium balance in cells.,"In our biology lab, we studied how the S-P pump affects nerve signal transmission.",,,251007B036,「2。0测试」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪɒn pʌmp/,P.,生物,,An ion pump is a protein that transfers ions across a cell membrane against their concentration gradient.,The ion pump in the cell membrane plays a crucial role in maintaining the cell's electrochemical balance.,,,251007B036,「2。0测试」
Depolarization - 去极化,M000234,Depolarization,去极化,/diːˌpoʊl.ə.rɪˈzeɪ.ʃən/,n.,生物,,Depolarization is a process that reduces the polarization of a cell's membrane.,"During the action potential of a neuron, depolarization occurs when sodium channels open, allowing sodium ions to enter the cell.",,,251007B036,「2。0测试」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization is when a cell's membrane potential becomes more negative than its resting potential.,"After the action potential, the neuron experienced hyperpolarization, making it less likely to fire again immediately.",,,251007B036,「2。0测试」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,A synapse is the junction between two nerve cells where impulses pass by diffusion of a neurotransmitter.,"When studying the brain, researchers often focus on how the synapse facilitates communication between neurons.",,,251007B036,「2。0测试」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːpəˌlɚɪˈzeɪʃən/,n.,醫學,,Repolarization refers to the process in which a cell returns to its resting membrane potential after depolarization.,"During the cardiac cycle, repolarization of the heart muscle is crucial for the proper functioning of the heart after contraction.",,,251007B036,「2。0测试」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdənt/,P.,生物,,A chemical gradient refers to the difference in concentration of a chemical substance across a distance.,The movement of ions across the membrane is driven by the chemical gradient established during cellular respiration.,,,251007B036,「2。0测试」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular processes occur within the cell.,The study focused on intracellular signaling pathways that regulate cell growth.,,,251007B036,「2。0测试」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,生物,,Concentration is the amount of a substance in a given volume of solution.,The concentration of salt in the water was too high for the fish to survive.,,,251007B036,「2。0测试」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑːsfoʊˈlɪpɪd/,n.,生物,,A phospholipid is a class of lipids that are a major component of all cell membranes.,"In the structure of cell membranes, phospholipid molecules arrange themselves into a bilayer.",,,251007B036,「2。0测试」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,"A bilayer is a structure consisting of two layers, typically referring to membranes in a biological context.",The cell membrane is primarily composed of a phospholipid bilayer that separates the interior of the cell from the outside environment.,,,251007B036,「2。0测试」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian species are characterized by having fur or hair and mammary glands that produce milk for their young.,"The mammalian class includes animals such as humans, dolphins, and elephants, which all nurse their offspring.",,,251007B036,「2。0测试」
