AP - 动作电位,M000222,AP,动作电位,,abbr.,生物,,"AP stands for action potential, which is a rapid rise and fall in membrane potential in neurons.","The neuron fired, generating an AP that propagated along the axon.",,,251012B036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,Propagation is the process of transmitting a signal or wave through a medium.,The propagation of sound waves requires a material medium like air or water.,,,251012B036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,生物,,Myelination is the process by which myelin sheaths are formed around nerve fibers.,"During development, myelination of axons increases the speed of electrical impulses in the nervous system.",,,251012B036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɑltəˌtɔri kənˈdʌkʃən/,P.,生物,,Saltatory conduction refers to the rapid transmission of electrical impulses along myelinated axons in neurons.,"In the human nervous system, saltatory conduction allows signals to travel much faster than they would in unmyelinated fibers.",saltat ory con duct ion,jumping_of guided_transmission,251012B036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,,P.,醫學,,Demyelinating disorders are conditions that damage the protective covering of nerves in the central nervous system.,Multiple sclerosis is one of the most common demyelinating disorders affecting young adults.,,,251012B036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlektrōˈkɛmɪkəl ˈɡreɪdients/,P.,生物,,Lectrochemical gradients refer to the differences in ion concentrations that help to drive electric current across membranes.,"The movement of ions depends on lectrochemical gradients, which are crucial for nerve signal transmission.",,,251012B036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the transfer of charged ions from one location to another.,"In batteries, ionic movement is crucial for generating electrical energy as ions move through the electrolyte.",ionic movement,transfer_of_charged_ions,251012B036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case is one that is considered simple and easy to solve.,"In this scenario, the judge determined that it was a trivial case and did not require a lengthy trial.",trivial case,simple_case,251012B036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbren pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the voltage difference across a cell's membrane.,The membrane potential of neurons is crucial for signal transmission in the nervous system.,membrane potential,voltage_difference_across_a_cell's_membrane,251012B036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ ti pi ˌeɪ s/,n.,生物,,An ATPase is an enzyme that catalyzes the decomposition of ATP into ADP and a free phosphate ion.,The role of ATPase in muscle contraction is crucial for energy production.,,,251012B036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,,,The S-P pump is essential for maintaining cellular ion balance in biological systems.,Researchers focused on the role of the S-P pump in kidney function during their latest study.,,,251012B036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,生物,,An ion pump is a protein that helps maintain the balance of ions in a cell.,The ion pump actively transports sodium out of the cell while bringing in potassium.,ion pump,transport_of_ions,251012B036,
Depolarization - 去极化,M000234,Depolarization,去极化,/diˌpoʊlərɪˈzeɪʃən/,n.,醫學,,Depolarization occurs when a cell's membrane potential becomes less negative or more positive.,"In cardiac physiology, depolarization of the heart muscle is essential for initiating a heartbeat.",,,251012B036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization refers to a change in a cell's membrane potential that makes it more negative compared to its resting potential.,"After the action potential, the neuron undergoes hyperpolarization which makes it less likely to fire again immediately.",,,251012B036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,"A synapse is the junction between two nerve cells, where communication occurs.",Neurotransmitters are released at the synapse to transmit signals between neurons.,,,251012B036,
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpɒlərɪˈzeɪʃən/,n.,生物,,Repolarization is the process by which the membrane potential of a cell is restored to its resting state after depolarization.,"After the action potential, repolarization occurs as potassium ions flow out of the neuron.",,,251012B036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdɪənt/,P.,生物,,A chemical gradient refers to the variation in concentration of a substance over a distance within a solution.,"In biology, the movement of ions across a membrane is often driven by a chemical gradient.",,,251012B036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular processes occur within the cell.,The researcher studied intracellular signaling pathways to understand cell communication.,,,251012B036,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,化學,,Concentration refers to the amount of a substance in a given volume of solution.,The concentration of salt in the ocean is higher than in freshwater lakes.,,,251012B036,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑsfoʊˈlɪpɪd/,n.,生物,,A phospholipid is a type of lipid that is a major component of all cell membranes.,"In cell biology, understanding how a phospholipid forms a bilayer is crucial for studying membrane dynamics.",,,251012B036,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪɚ/,n.,生物,,A bilayer consists of two layers that are arranged adjacent to each other.,"The cell membrane is primarily composed of a phospholipid bilayer, which separates the interior of the cell from the external environment.",,,251012B036,
