AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"An AP is a rapid, transient change in a neuron's membrane potential that propagates along the axon to transmit electrical signals.","During the recording the sensory neuron produced an AP after stimulation, which traveled down the axon to activate postsynaptic targets in the spinal cord.",act ion potent ial,do process power relating_to,251012E036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɑpəˈɡeɪʃən/,n.,物理,,"Propagation is the transmission of a disturbance, such as a wave, particle, or signal, through a medium or space.","Propagation of radio signals through the atmosphere can be affected by ionospheric conditions, causing long-distance reception during solar storms.",pro ation,forward action_or_process,251012E036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪələˈneɪʃən/,n.,,,Myelination is the process by which axons are wrapped in a myelin sheath to improve electrical conduction along nerve fibers.,Neonatal MRI showing delayed Myelination led clinicians to order genetic testing for leukodystrophies.,myel ation,marrow act_of,251012E036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,,,Saltatory conduction is the mode of nerve impulse transmission in myelinated axons where action potentials jump between nodes of Ranvier.,"In our patch-clamp recordings, saltatory conduction enabled rapid signal propagation along the motor neuron by allowing the action potential to leap from node to node.",saltat ory conduct ion,leap pertaining_to lead action,251012E036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːmaɪəˈleɪnətɪŋ dɪˈsɔrdɚz/,P.,,,"Demyelinating disorders are neurological diseases in which the myelin sheath of nerve fibers is damaged, leading to impaired nerve conduction.",MRI scans are commonly used to detect lesions in patients suspected of having demyelinating disorders such as multiple sclerosis to guide diagnosis and treatment.,de myelin ate disorder,remove myelin cause_to_be abnormal_condition,251012E036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛktroʊˈkɛmɪkəl ˈɡreɪdiənts/,P.,生物,,Lectrochemical gradients are differences in electric potential and ion concentration across membranes that drive processes such as ATP synthesis and active ion transport.,"In mitochondria, lectrochemical gradients across the inner membrane power ATP synthase to produce ATP during oxidative phosphorylation.",electro chem grad,electric chemical step,251012E036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuvmənt/,P.,化學,,"Ionic movement is the motion of charged ions through a medium, driven by electric fields or concentration gradients.",Ionic movement in lithium-ion batteries controls how fast they can charge and deliver current during discharge.,ion ic move ment,charged_particle pertaining_to move result_or_process,251012E036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,Trivial case refers to a commonplace situation that is simple and does not affect the main conclusion.,In the proof we dismissed the Trivial case where n=0 because it required no further reasoning.,,,251012E036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生理,,Membrane potential is the electrical potential difference across a cell membrane that arises from unequal ion distribution and selective membrane permeability.,"During drug testing, researchers measured the Membrane potential of cardiac myocytes to detect proarrhythmic effects.",,,251012E036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˌeɪtiːˈpiːeɪz/,n.,生化,,Atpase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,The neuronal Na+/K+-Atpase restores resting membrane potential by using ATP hydrolysis to pump sodium out and potassium in after an action potential.,ase,enzyme,251012E036,
