AP - 动作电位,M000222,AP,动作电位,,abbr.,醫學,,AP is an abbreviation for action potential in medical contexts.,The neuron fires an AP to transmit the signal along the axon.,,,251013A036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɑːpəˈɡeɪʃən/,n.,物理,,Propagation refers to the process by which waves travel through a medium or space.,The propagation of sound requires a medium like air or water for transmission.,pro pag,forward fix,251013A036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈleɪʃən/,n.,生物,,Myelination is the process of forming a myelin sheath around nerves to improve the speed of nerve impulses.,"Demyelination diseases involve the loss or damage of myelin, affecting nerve function.",myel in ation,marrow pertaining_to process,251013A036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔl təˌtɔr i ˈkɒn dʌk ʃən/,P.,生物,,"Saltatory conduction is the process by which nerve impulses jump from one Node of Ranvier to the next, speeding up neural transmission.","In my physiology class, we learned how saltatory conduction allows faster communication along myelinated axons compared to non-myelinated ones.",saltat ory con duct ion,jump relating_to together lead state_or_action,251013A036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diːˈmaɪəlɪneɪtɪŋ dɪˈsɔrdərz/,P.,醫學,,Demyelinating disorders are conditions that damage the protective covering of nerves in the brain and spinal cord known as myelin.,Multiple sclerosis is one of the most common demyelinating disorders affecting the central nervous system.,de myelin ate ing,remove myelin cause_of adjective,251013A036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,,P.,生物,RARE,Lectrochemical gradients refer to the directional movement of ions driven by electrochemical potential differences across a membrane.,"In neurons, lectrochemical gradients are crucial for transmitting signals across synapses.",electro chemical,electric chemical,251013A036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑːnɪk ˈmuːvmənt/,P.,化學,RARE,Ionic movement refers to the motion of ions through a medium or space due to a difference in electric potential.,"In electrochemical cells, ionic movement is crucial for the flow of current.",ion ic move ment,ion relating_to move state_or_result_of,251013A036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,A trivial case is a situation that is considered insignificant or simple.,"In mathematics, a trivial case is often used to illustrate a point without complex calculations.",trivi al case,three fold situation,251013A036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the electrical potential difference across a cell membrane.,The membrane potential is crucial for the function of nerve and muscle cells.,membrane potential,thin_covering power,251013A036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈæt ˌp̬eɪs/,n.,生物,,ATPase is an enzyme that catalyzes the decomposition of ATP into ADP and a free phosphate ion.,The activity of ATPase is crucial for muscle contractions.,atp ase,adenosine_triphosphate enzyme,251013A036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,RARE,The S-P pump plays a crucial role in maintaining the cell's membrane potential by actively transporting sodium and potassium ions across the membrane.,"In many cells, the S-P pump helps regulate the concentration of sodium and potassium, which is vital for nerve signal transmission.",,,251013A036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪ.ˌɑn pʌmp/,P.,物理,,An ion pump is a device that moves ions across a membrane using active transport mechanisms.,"In many laboratories, an ion pump is used to create a high vacuum environment for experiments.",ion,charged_particle,251013A036,
Depolarization - 去极化,M000234,Depolarization,去极化,/diˌpoʊlərɪˈzeɪʃən/,n.,生物,,Depolarization occurs when a cell's membrane potential becomes less negative.,"In neuroscience, depolarization is crucial for the transmission of nerve impulses.",de polar ization,opposite_of pole action_or_process,251013A036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization is a change in a cell's membrane potential that makes it more negative.,"During an action potential, hyperpolarization can occur after repolarization to temporarily inhibit a neuron from firing.",hyper polar ization,over axis process,251013A036,
