AP - 动作电位,M000222,AP,动作电位,,abbr.,生理,,"AP stands for action potential, a rapid rise and fall in voltage or membrane potential across a cellular membrane.","During a nerve impulse, an AP is generated and transmitted along the axon.",,,251013E036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,Propagation is the process by which something such as heat or sound is transmitted through a medium.,The propagation of the radio waves can be affected by atmospheric conditions.,pro pag,forward fasten,251013E036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/maɪəˈleɪʃən/,n.,生物,,"Myelination is the process by which a fatty layer, called myelin, accumulates around nerve cells.",Proper myelination is crucial for the rapid transmission of neural signals.,myelin ation,marrow action_or_process,251013E036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,生物,,Saltatory conduction is the process by which nerve impulses jump between the nodes of Ranvier in myelinated neurons.,Saltatory conduction significantly increases the speed at which electrical impulses are transmitted along the nerve cells.,saltat ory con duct ion,jump relating_to with lead process,251013E036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diːˈmaɪəˌleɪnɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,"Demyelinating disorders are conditions that damage the protective covering of nerves, known as myelin.",Multiple sclerosis is one of the most common demyelinating disorders affecting the central nervous system.,de myelin ate,remove myelin perform_action,251013E036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌɛkstrəkoʊˈkɛmɪkəl ˈɡreɪdiənts/,P.,生物,RARE,Lectrochemical gradients are used to describe the distribution of ions across a membrane.,The generation of lectrochemical gradients is essential for nerve impulse transmission in neurons.,lectro chem grad ient,electric chemical step go,251013E036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑːnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the migration of ions in an electric field.,"In electrochemistry, the ionic movement is crucial for the conductivity of solutions.",ion ic,ion relating_to,251013E036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,,P.,數學,,A trivial case involves a situation or problem that is considered simple or insignificant.,"In mathematics, a trivial case often refers to the simplest example of a larger theory or concept.",,,251013E036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the voltage difference across a cell's membrane.,The neuron’s membrane potential is essential for the transmission of nerve impulses.,membrane potential,thin_sheet capacity,251013E036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈætˌpeɪs/,n.,生物,,Atpase is an enzyme that catalyzes the hydrolysis of ATP into ADP and a free phosphate ion.,The Atpase activity was measured to understand its role in muscle contractions.,atp ase,adenosine_triphosphate enzyme,251013E036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,/ˌɛsˈpiː ˈpʌmp/,P.,生物,,The S-P pump is a vital mechanism that actively transports sodium and potassium ions across the cell membrane.,"In cardiac muscle cells, the S-P pump plays a crucial role in maintaining the necessary ion gradient for contraction.",,,251013E036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,物理,,An ion pump is a device used to remove gas molecules from a vacuum system by ionizing them.,The laboratory installed a new ion pump to maintain the purity of the vacuum chamber.,ion pump,ion pump,251013E036,
Depolarization - 去极化,M000234,Depolarization,去极化,/diˌpoʊlərɪˈzeɪʃən/,n.,生物,,Depolarization occurs when there is a decrease in the difference in charge across a neuron's membrane.,The depolarization of the muscle cell leads to contraction in response to a stimulus.,de polar ization,remove pole process,251013E036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,RARE,Hyperpolarization is a change in a cell's membrane potential that makes it more negative.,"During an action potential, the neuron briefly undergoes hyperpolarization before returning to its resting state.",hyper polar ization,above pole process,251013E036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,"A synapse is a junction between two nerve cells, where impulses pass by diffusion of a neurotransmitter.",Neurons communicate with each other at synapses by releasing neurotransmitters.,syn apse,together juncture,251013E036,
Repolarization - 复极化,M000237,Repolarization,复极化,/riˌpoʊlərɪˈzeɪʃən/,n.,生物,,Repolarization is the process in which the membrane potential of a neuron returns to a negative value after depolarization.,"During the cardiac cycle, repolarization is crucial for restoring the heart muscle cells to their resting state.",re polar ization,again pole act_of_making,251013E036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdiənt/,P.,生物,,A chemical gradient is a gradual change in the concentration of molecules in a solution. ,Cells often move in response to a chemical gradient across a membrane.,chem ic al grad ient,chemical science related step moving,251013E036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular refers to something located or occurring within a cell.,Intracellular fluid is essential for maintaining cell function.,intra cellul ar,within cell related_to,251013E036,
