Mental disorder - 精神障碍,M000405,Mental disorder,精神障碍,/ˈmɛntəl dɪsˈɔrdər/,P.,心理,,"A mental disorder is a condition that affects a person's thinking, feeling, or behavior.",,,404404A404,「test」
Mental illness - 精神疾病,M000406,Mental illness,精神疾病,/ˈmɛntəl ˈɪl.nəs/,P.,心理,,"Mental illness refers to a wide range of conditions that affect mood, thinking, and behavior.",,,404404A404,「test」
Abnormal psychology - 变态心理学,M000407,Abnormal psychology,变态心理学,/æbˈnɔːrməl saɪˈkɑːlədʒi/,P.,心理,,Abnormal psychology is the branch of psychology that deals with unusual or atypical human behavior.,abnormal psychology,atypical_human_behavior,404404A404,「test」
Psychopathology - 精神病理学,M000408,Psychopathology,精神病理学,/ˌsaɪkoʊpæˈθɑlədʒi/,n.,心理,,"Psychopathology is the study of mental disorders and their biological, psychological, and social causes.",psycho patho logy,mind_disorder_study,404404A404,「test」
Mental health professional - 精神卫生专业人员,M000409,Mental health professional,精神卫生专业人员,/ˈmɛn.təl hɛlθ prəˈfɛʃ.ə.nəl/,P.,醫學,,A mental health professional is someone who is trained to diagnose and treat mental health issues.,,,404404A404,「test」
Psychodiagnosis - 心理诊断,M000410,Psychodiagnosis,心理诊断,/ˌsaɪkoʊdaɪəɡˈnoʊsɪs/,n.,心理,,Psychodiagnosis is the process of diagnosing psychological conditions.,psycho dia gnosis,study_of diagnosis,404404A404,「test」
Treatment plan - 治疗计划,M000411,Treatment plan,治疗计划,/ˈtritmənt plæn/,P.,,,A treatment plan is a structured approach for addressing a patient's needs in treatment.,treatment plan,structured_approach_for_addressing_patient's_needs_in_treatment,404404A404,「test」
Etiology - 病因学,M000412,Etiology,病因学,/ˌiːtiˈɒlədʒi/,n.,醫學,,Etiology is the study of the causes of diseases.,,,404404A404,「test」
Psychotherapy - 心理治疗,M000413,Psychotherapy,心理治疗,/ˌsaɪkoʊˈθɛrəpi/,n.,心理,,Psychotherapy is a treatment for mental disorders that involves talking to a trained therapist.,,,404404A404,「test」
Hallucination - 幻觉,M000414,Hallucination,幻觉,/həˌluːsɪˈneɪʃən/,n.,心理,,"A hallucination is a perception that occurs without an external stimulus, often leading individuals to believe they are witnessing something real.",,,404404A404,「test」
Culture - 文化,M000415,Culture,文化,/ˈkʌltʃər/,n.,,,"Culture refers to the ideas, customs, and social behavior of a particular people or society.",,,404404A404,「test」
Cultural relativism - 文化相对主义,M000416,Cultural relativism,文化相对主义,/ˈkʌltʃərəl ˌrɛlətɪˈvɪzəm/,P.,,,Cultural relativism is the idea that one's beliefs and practices should be understood based on that person's own culture.,cultural relativism,beliefs_and_practices_should_be_understood_based_on_culture,404404A404,「test」
Cultural universality - 文化普遍性,M000417,Cultural universality,文化普遍性,/ˈkʌltʃərəl ˌjuːnɪˈvɜrsəlɪti/,P.,,,Cultural universality refers to aspects of culture that are common to all human societies.,cultural universality,cultural_universality,404404A404,「test」
Psychiatric epidemiology - 精神病学流行病学,M000418,Psychiatric epidemiology,精神病学流行病学,/ˌsaɪ.kiˈætrɪk ˌɛpɪˌdiˈɑlədʒi/,P.,心理,,Psychiatric epidemiology is the study of the distribution and determinants of psychiatric disorders in populations.,psychiatric epidemiology,study_of_distribution_and_determinants_of_psychiatric_disorders_in_populations,404404A404,「test」
Prevalence - 患病率,M000419,Prevalence,患病率,/ˈprɛvələns/,n.,醫學,,The prevalence of a disease refers to the total number of cases in a given population at a specific time.,,,404404A404,「test」
Lifetime prevalence - 终生患病率,M000420,Lifetime prevalence,终生患病率,,P.,,,Lifetime prevalence refers to the proportion of individuals in a population who have experienced a particular condition at any time in their life.,lifetime prevalence,duration_of_life proportion_of_individuals_with_condition,404404A404,「test」
