AP - 动作电位,M000222,AP,动作电位,,abbr.,生物,,The term AP refers to an action potential in biological contexts.,"During a nerve impulse, the AP travels along the axon, triggering synaptic transmission.",,,250925A036,「优化UI 测试」
Propagation - 传导,M000223,Propagation,传导,/ˌprɑːpəˈɡeɪʃən/,n.,物理,,Propagation is the act of spreading or transmitting something from one place to another.,The propagation of sound through the air can be affected by temperature and humidity.,,,250925A036,「优化UI 测试」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪə.lɪˈneɪʃən/,n.,,,Myelination is the process by which myelin sheaths are formed around nerve fibers.,"In multiple sclerosis, the breakdown of myelination impairs nerve signal transmission.",,,250925A036,「优化UI 测试」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˌsɔlˈteɪtəri kənˈdʌkʃən/,P.,生物,,Saltatory conduction is a mechanism of neural signal transmission that involves jumping from one node of Ranvier to another.,"In my biology class, we learned that saltatory conduction greatly increases the speed of electrical impulses along myelinated axons.",saltatory conduction,jumping_transmission,250925A036,「优化UI 测试」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːmaɪˈɛləneɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,Demyelinating disorders are conditions that damage the protective covering of nerves.,Multiple sclerosis is one of the most common demyelinating disorders affecting the central nervous system.,,,250925A036,「优化UI 测试」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.trəˈkɛm.ɪ.kəl ˈɡreɪ.dʒənts/,P.,生物,,Lectrochemical gradients refer to the changes in electric potential and concentration across a membrane that drive processes like neurotransmission.,"In neuron communication, lectrochemical gradients are crucial for the generation of action potentials.",,,250925A036,「优化UI 测试」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the motion of charged particles within a medium.,"In the process of electrolysis, ionic movement is crucial for the separation of elements from compounds.",ionic movement,charged_particle_motion,250925A036,「优化UI 测试」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case is often used to describe a situation that is simple and not complicated.,"In our discussion, we concluded that the scenario presented was a trivial case that required little analysis.",,,250925A036,「优化UI 测试」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the voltage difference across a cell's membrane.,"The membrane potential can change in response to various stimuli, leading to the generation of action potentials in neurons.",membrane potential,voltage_difference_across_a_cell's_membrane,250925A036,「优化UI 测试」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ ti ˌpi ˌeɪs/,n.,生物,,ATPase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,The ATPase activity in muscle cells is critical for energy production during contraction.,,,250925A036,「优化UI 测试」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,,,The S-P pump plays a crucial role in maintaining the electrochemical gradient across cellular membranes.,Understanding how the S-P pump functions is essential for comprehending cell physiology.,,,250925A036,「优化UI 测试」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪɒn pʌmp/,P.,生物,,An ion pump is a type of membrane protein that moves ions across a membrane against their concentration gradient.,"In cellular biology, an ion pump plays a crucial role in maintaining the cell's electrochemical gradient.",ion pump,ion_pump,250925A036,「优化UI 测试」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊləraɪˈzeɪʃən/,n.,生物,,"Depolarization refers to the process by which a cell's membrane potential becomes less negative, leading to a change in the cell's electrical state.","During the action potential, depolarization occurs when sodium channels open, allowing Na+ ions to rush into the neuron.",,,250925A036,「优化UI 测试」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization occurs when the membrane potential of a cell becomes more negative than its resting potential.,"During an action potential, hyperpolarization prevents the neuron from firing immediately again.",,,250925A036,「优化UI 测试」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,A synapse is a junction between two neurons where information is transmitted.,The doctor explained how a synapse enables communication between brain cells.,,,250925A036,「优化UI 测试」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːpəˌlɚɪzaɪˈzeɪʃən/,n.,生物,,Repolarization refers to the process by which a cell's membrane potential returns to its resting state after depolarization.,"After the action potential, repolarization occurs to restore the balance of ions inside and outside the neuron.",,,250925A036,「优化UI 测试」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdənt/,P.,生物,,A chemical gradient is formed when the concentration of a substance differs across a space.,The movement of ions is driven by the chemical gradient established during the cellular process.,,,250925A036,「优化UI 测试」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛl·jʊl·ər/,adj.,生物,,Intracellular refers to processes that occur within a cell.,The researchers studied the intracellular signal pathways involved in cellular communication.,,,250925A036,「优化UI 测试」
