AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP stands for action potential, which is a rapid rise and fall in voltage across a cellular membrane.","When a neuron is stimulated, it generates an AP that propagates along its axon.",,,251011A036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,"Propagation is the process through which energy is transmitted, such as the propagation of sound waves through air.",The propagation of the signal was much clearer after the technician made adjustments to the antenna.,,,251011A036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪə.lɪˈneɪ.ʃən/,n.,生物,,Myelination is the process by which myelin sheaths form around the nerves.,The speed of neural transmissions increases significantly due to myelination.,,,251011A036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/sælˈtɛɹəˌtɔːri kənˈdʌkʃən/,P.,生物,,Saltatory conduction occurs when nerve impulses jump from one node of Ranvier to another.,"In my biology class, we learned that saltatory conduction speeds up the transmission of electrical signals in neurons.",saltatory conduction,jumping_controlled_transmission,251011A036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːˌmaɪəlɪˈneɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,Demyelinating disorders are conditions that result in the damage or destruction of the myelin sheath surrounding nerves.,Multiple sclerosis is one of the most common demyelinating disorders that affects young adults.,,,251011A036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.troʊˈkɛmɪkəl ˈɡreɪ.dɪənts/,P.,生物,,Lectrochemical gradients refer to the differences in electric charge and concentration of ions across a membrane.,The movement of ions across the cell membrane is driven by lectrochemical gradients critical for generating action potentials in neurons.,lectro chemical gradient,electric_charge concentration_of_ions_across_a_membrane,251011A036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the process by which ions move from one place to another in response to an electric field.,"During the experiment, we observed ionic movement in the solution when the voltage was applied.",ionic movement,ion_movement,251011A036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case refers to a situation that is simple and straightforward.,"In the discussion about legal matters, a trivial case often lacks complexity and typically requires minimal analysis.",trivial case,simple_situation,251011A036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbren pəˈtɛnʃəl/,P.,生物,,The membrane potential is the electrical potential difference across a cell's membrane.,Researchers measured the membrane potential of the neurons to study their electrical activity.,membrane potential,electrical_potential_difference_across_a_cell's_membrane,251011A036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ tiː ˌpeɪ ˈeɪs/,n.,生物,,ATPase is an enzyme that catalyzes the conversion of ATP into ADP and inorganic phosphate.,The study revealed that the ATPase activity was significantly increased in the presence of magnesium ions.,,,251011A036,
