Mental disorder - 精神障碍,M002701,Mental disorder,精神障碍,/ˈmɛntl dɪsˈɔrdər/,P.,心理,,"A mental disorder is a condition that affects a person's thinking, feeling, and behavior.",The therapist specializes in treating patients with a mental disorder.,,,251012A016,「测试批次」
Mental illness - 精神疾病,M002702,Mental illness,精神疾病,/ˈmɛntl ˈɪlnəs/,P.,心理,,"Mental illness refers to a wide range of mental health conditions that affect mood, thinking, and behavior.",Many people with mental illness may struggle with daily activities and relationships.,,,251012A016,「测试批次」
Abnormal psychology - 变态心理学,M002703,Abnormal psychology,变态心理学,/æbˈnɔːr.məl saɪˈkɒl.ə.dʒi/,P.,心理,,Abnormal psychology is the study of abnormal behavior and mental disorders.,Her studies in abnormal psychology helped her understand the complexities of mental illness.,,,251012A016,「测试批次」
Psychopathology - 精神病理学,M002704,Psychopathology,精神病理学,/ˌsaɪkoʊpəˈθɑlədʒi/,n.,心理,,Psychopathology is the study of mental disorders and their symptoms.,"In her research, she focused on psychopathology to better understand the causes of depression and anxiety disorders.",,,251012A016,「测试批次」
Mental health professional - 精神卫生专业人员,M002705,Mental health professional,精神卫生专业人员,,P.,心理,,A mental health professional is trained to help individuals deal with emotional and psychological challenges.,She decided to see a mental health professional for support during her difficult times.,mental health professional,emotional_and_psychological_support,251012A016,「测试批次」
Psychodiagnosis - 心理诊断,M002706,Psychodiagnosis,心理诊断,/ˌsaɪkoʊdaɪəɡˈnoʊsɪs/,n.,心理,,Psychodiagnosis refers to the process of identifying psychological conditions through evaluation and assessment.,The therapist utilized psychodiagnosis to better understand her patient's mental health issues.,,,251012A016,「测试批次」
Treatment plan - 治疗计划,M002707,Treatment plan,治疗计划,/ˈtriːtmənt plæn/,P.,醫學,,A treatment plan outlines the specific steps that will be taken to address a patient's healthcare needs.,"Before starting the therapy, the doctor presented the treatment plan to the patient for approval.",treatment plan,specific_steps_to_address_a_patient's_healthcare_needs,251012A016,「测试批次」
Etiology - 病因学,M002708,Etiology,病因学,/ˌiːtiˈɑːlədʒi/,n.,醫學,,Etiology is the study of the causes of diseases.,The etiology of diabetes involves multiple factors including genetics and lifestyle.,,,251012A016,「测试批次」
Psychotherapy - 心理治疗,M002709,Psychotherapy,心理治疗,/ˌsaɪ.kəʊ.θəˈræ.pi/,n.,心理,,Psychotherapy is a treatment that helps individuals manage emotional difficulties.,She decided to try psychotherapy to cope with her anxiety and depression.,,,251012A016,「测试批次」
Hallucination - 幻觉,M002710,Hallucination,幻觉,/həˌluːsɪˈneɪʃən/,n.,心理,,A hallucination is the experience of seeing something that is not present in reality.,"During the fever, she experienced a hallucination that made her believe there were butterflies flying around her room.",,,251012A016,「测试批次」
Culture - 文化,M002711,Culture,文化,/ˈkʌlʧər/,n.,,,Culture is the social behavior and norms found in human societies.,"The festival was a celebration of the local culture, showcasing traditional music and dance.",,,251012A016,「测试批次」
Cultural relativism - 文化相对主义,M002712,Cultural relativism,文化相对主义,/ˈkʌltʃərəl ˌrɛlətɪˈvɪzəm/,P.,,,Cultural relativism is the idea that a person's beliefs and practices should be understood based on that person's own cultural context.,"In debates about morality, cultural relativism suggests that we cannot judge a culture's ethics by the standards of our own.",cultural relativism,cultural_relativism,251012A016,「测试批次」
Cultural universality - 文化普遍性,M002713,Cultural universality,文化普遍性,/ˈkʌltʃərəl ˌjuːnɪˈvɜːrsəlt̬i/,P.,人類,,Cultural universality refers to elements that are common across all human cultures.,The concept of marriage is an example of cultural universality that transcends individual societies.,,,251012A016,「测试批次」
Psychiatric epidemiology - 精神病学流行病学,M002714,Psychiatric epidemiology,精神病学流行病学,/ˌsaɪ.kiˈætrɪk ˌɛpɪdiˈmiːəˌlədʒi/,P.,心理,,Psychiatric epidemiology is the study of the distribution and determinants of mental disorders in populations.,Researchers in psychiatric epidemiology often analyze data from large-scale surveys to understand the prevalence of depression in different demographics.,,,251012A016,「测试批次」
Prevalence - 患病率,M002715,Prevalence,患病率,/ˈprɛvələns/,n.,醫學,,Prevalence refers to the frequency of a disease in a population at a given time.,The prevalence of diabetes has increased significantly in recent years.,,,251012A016,「测试批次」
Lifetime prevalence - 终生患病率,M002716,Lifetime prevalence,终生患病率,/ˈlaɪfˌtaɪm ˈprɛvələns/,P.,醫學,,Lifetime prevalence refers to the proportion of individuals who have experienced a specific condition at any point in their life.,The study revealed a lifetime prevalence of depression among adults that reached 20%.,,,251012A016,「测试批次」
