AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP stands for action potential, which is a rapid electrical signal that propagates along the membrane of a neuron or muscle cell.",The researchers recorded AP firing rates in response to different stimuli to understand neuronal activity patterns.,,,251012C036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɑpəˈɡeɪʃən/,n.,物理,,"Propagation is the transmission or conduction of something, such as signals, waves, or nerve impulses, through a medium or space.",The propagation of electrical signals along the nerve fibers allows rapid communication between different parts of the body.,pro paga tion,forward spread action,251012C036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪələˈneɪʃən/,n.,,,Myelination is the process of forming a myelin sheath around nerve fibers to increase the speed of electrical impulse transmission.,"During early childhood development, myelination of the brain's neural pathways accelerates learning and motor coordination.",myelin ation,marrow process_of,251012C036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsæltəˌtɔri kənˈdʌkʃən/,P.,,,"Saltatory conduction is the rapid propagation of action potentials along myelinated nerve fibers, where the electrical signal jumps from one node of Ranvier to the next.","In multiple sclerosis, damage to the myelin sheath disrupts saltatory conduction and slows down neural transmission.",saltatory,leaping,251012C036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diˈmaɪəlɪneɪtɪŋ dɪsˈɔrdərz/,P.,,,Demyelinating disorders are medical conditions characterized by damage to the protective myelin sheath surrounding nerve fibers in the central or peripheral nervous system.,Multiple sclerosis is one of the most common demyelinating disorders affecting young adults worldwide.,de myelin ate ing dis order,remove myelin make continuous negation arrangement,251012C036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ɪˌlɛktroʊˈkɛmɪkəl ˈɡreɪdiənts/,P.,生物,,Electrochemical gradients are the combined force of concentration differences and electrical potential differences across a membrane that drives ion movement.,Neurons rely on electrochemical gradients of sodium and potassium ions to generate action potentials and transmit signals.,electro chemical,electricity chemistry,251012C036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuvmənt/,P.,生物,,Ionic movement is the migration of charged atoms or molecules through a medium such as a solution or membrane.,The action potential in neurons depends on ionic movement of sodium and potassium across the cell membrane.,ion ic move ment,going pertaining_to move state_of,251012C036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,"In mathematics, a trivial case is a simple or degenerate instance of a problem that requires little or no effort to solve.",The base case of the proof handles the trivial case where the set contains only one element.,,,251012C036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmbreɪn pəˈtɛnʃəl/,P.,生物,,The membrane potential is the electrical voltage difference across a cell's plasma membrane between its interior and exterior.,Neurons transmit signals by rapidly changing their membrane potential during action potentials.,,,251012C036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˌeɪtiˈpieɪs/,n.,生化,RARE,"ATPase is an enzyme that catalyzes the decomposition of ATP into ADP and a free phosphate ion, releasing energy for cellular processes.",The sodium-potassium ATPase pump maintains the electrochemical gradient across cell membranes by actively transporting ions.,,,251012C036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,/ˈɛs ˈpi ˈpʌmp/,P.,生物,,The S-P pump is a membrane protein that actively transports sodium ions out of cells and potassium ions into cells to maintain cellular electrochemical gradients.,Neurons rely on the S-P pump to restore ion concentrations after action potentials by exchanging three sodium ions for two potassium ions.,,,251012C036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪɑn pʌmp/,P.,生物,,An ion pump is a membrane protein that actively transports ions across a biological membrane against their concentration gradient using energy.,The sodium-potassium ion pump maintains the electrochemical gradient essential for nerve impulse transmission in neurons.,,,251012C036,
Depolarization - 去极化,M000234,Depolarization,去极化,/diˌpoʊlərəˈzeɪʃən/,n.,生物,,"Depolarization is the process by which a cell's membrane potential becomes less negative or more positive, moving toward zero.","During an action potential, depolarization occurs when sodium channels open and sodium ions rapidly enter the neuron.",de polar iz ation,reverse pole make process,251012C036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpɚˌpoʊlɚəˈzeɪʃən/,n.,,,"Hyperpolarization is an increase in the membrane potential of a cell, making the inside more negative relative to the outside.","During hyperpolarization, potassium ions flow out of the neuron, temporarily preventing another action potential from firing.",hyper polar iz ation,excessive pole make process,251012C036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,,,A synapse is the junction between two nerve cells where electrical or chemical signals are transmitted from one neuron to another.,"When learning a new skill, repeated practice strengthens the synapse connections between neurons in the brain.",syn apsis,together junction,251012C036,
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌripoʊlɚəˈzeɪʃən/,n.,生理,,Repolarization is the process by which a cell restores its membrane potential to a negative resting state after depolarization.,"After the action potential peak, cardiac muscle cells undergo repolarization as potassium ions flow out of the cell.",re polar iz ation,again pole make_into state_of,251012C036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdiənt/,P.,生物,,A chemical gradient is a difference in the concentration of a substance across a distance or region.,Neurons use the chemical gradient of sodium ions across their membranes to generate electrical signals.,,,251012C036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljəlɚ/,adj.,生物,,Intracellular processes occur within the interior of a cell.,The intracellular calcium concentration regulates muscle contraction and neurotransmitter release.,intra cellular,within cell,251012C036,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɑnsənˈtreɪʃən/,n.,化學,,The concentration of a substance is the amount of that substance present in a given volume of solution or mixture.,The laboratory technician measured the concentration of glucose in the blood sample to diagnose the patient's condition.,con centr,together center,251012C036,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑsfoʊˈlɪpɪd/,n.,生化,,"A phospholipid is a lipid molecule composed of a glycerol backbone, two fatty acid chains, and a phosphate group that forms the structural basis of cell membranes.","The phospholipid bilayer acts as a selective barrier, controlling which substances can enter or exit the cell.",phospho lipid,phosphate fat,251012C036,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪɚ/,n.,生物,,"A bilayer is a structure consisting of two layers of molecules, typically found in cell membranes where phospholipids arrange themselves in two parallel sheets.",The lipid bilayer forms the fundamental barrier that separates the interior of the cell from its external environment.,bi layer,two layer,251012C036,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian characteristics include the presence of mammary glands that produce milk to nourish offspring.,Scientists studied the mammalian brain structure to understand cognitive evolution across different species.,mamm,breast,251012C036,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnɑnɪkəl aɪˈɑnɪk ˌdɪstrəˈbjuʃənz/,P.,生物,RARE,Canonical ionic distributions refer to the standard or classical patterns of ion concentration gradients across biological membranes.,"The canonical ionic distributions of sodium, potassium, and chloride ions across the cell membrane are maintained by ATP-dependent ion pumps.",canon ion,rule charged_particle,251012C036,
