AP - 动作电位,M000222,AP,动作电位,,abbr.,,,AP stands for action potential in neuroscience.,"When the neuron fires, an AP is generated along the axon.",,,251013F036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,Propagation is the process by which a wave travels through a medium.,The propagation of sound requires a medium like air or water.,pro pa gat ion,forward place act state,251013F036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈleɪʃən/,n.,生物,,Myelination is the process of forming a myelin sheath around a nerve to allow nerve impulses to move more quickly.,"During early childhood, rapid myelination of the brain's neural pathways is crucial for development.",myel in ation,marrow in process_of,251013F036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,生物,,"Saltatory conduction is the process by which nerve impulses jump between nodes of Ranvier, speeding up signal transmission.","In myelinated neurons, saltatory conduction allows for rapid transmission of nerve impulses.",saltare conducere,jump lead,251013F036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diːˈmaɪəlɪneɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,Demyelinating disorders are conditions that result in damage to the protective covering that surrounds nerve fibers in the central nervous system.,"Multiple sclerosis is one of the most common demyelinating disorders, affecting millions of people worldwide.",de myelin ate dis order,removal myelin make not condition,251013F036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,,P.,生物,,Lectrochemical gradients refer to the combination of electric and chemical forces that drive the movement of ions across a membrane.,Cells use lectrochemical gradients to transport ions such as sodium and potassium across their membranes.,lectro chem ic al grad ient,electric chemical pertaining_to pertaining_to step difference,251013F036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,,P.,化學,,Ionic movement refers to the motion of ions in a solution or across a membrane.,"In electrochemistry, ionic movement is crucial for the conduction of electricity in electrolyte solutions.",,,251013F036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,A trivial case is a situation that is simple or of minor importance.,"In the study of mathematics, a trivial case often refers to results that are straightforward or immediately clear.",trivi al cas,three road condition,251013F036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,Membrane potential is the difference in electric potential between the interior and the exterior of a biological cell.,Changes in the membrane potential can trigger nerve impulses in neurons.,membrane potentia,thin_layer power,251013F036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈætpˌeɪs/,n.,生物,,Atpase is an enzyme that catalyzes the decomposition of ATP into ADP and a free phosphate ion.,"In muscle cells, Atpase activities are crucial for providing the energy needed for contraction.",atp ase,adenosine_triphosphate enzyme,251013F036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,,The S-P pump is essential for maintaining the concentration gradients of sodium and potassium across the cell membrane.,"In cellular processes, the S-P pump actively transports sodium ions out of and potassium ions into the cell, maintaining essential functions.",,,251013F036,
